,Unnamed: 0,company,headquarters,size,founded,type,revenue,website,industry,Description
10,10,Costco Wholesale,"Issaquah, WA",10000+ Employees,1976.0,Company - Public (COST),$10+ billion (USD),www.costco.com,General Merchandise & Superstores,"Costco Wholesale is the largest wholesale club operator in the US. The company operates more than 590 membership warehouse stores serving some 64 million cardholders in 40 US states and Australia, Canada, Japan, Mexico, Puerto Rico, South Korea, Taiwan, and the UK, primarily under the Costco Wholesale name. Stores offer discount prices on an average of about 4,000 products (many in bulk packaging), ranging from alcoholic beverages and appliances to fresh food, pharmaceuticals, and tires. Certain club memberships also offer products and services such as car and home insurance, mortgage and real estate services, and travel packages."
11,11,Cigna,"Bloomfield, CT",10000+ Employees,1865.0,Company - Public (CI),$10+ billion (USD),www.cigna.com,Health Care Services & Hospitals,
12,12,AT&T,"Dallas, TX",10000+ Employees,1983.0,Company - Public (T),$10+ billion (USD),www.att.jobs,Telecommunications Services,"Looking for a new way to connect? You’re in the right place. We are in the business of connection – to our customers, our communities, and each other.  We are invested in building strong networks, future facing technology solutions, and career opportunities that have a global impact.We want to give you 4 reasons why you should join #LifeAtATT.1.	Whether you’re pursuing a career in sales, technology, or something else entirely, you’re ready to connect to something bigger. 2.	We’ve got opportunities all over the globe to do what you love.3.	Living our values – standing for equality, pursuing excellence, and thinking big – is right in your wheelhouse.4.	You like great benefits.Ready? It’s all waiting for you at att.jobs, and while you’re at it check out #LifeAtATT to get the latest on how we’re living, working, and playing.We hope to connect with you soon!"
13,13,Microsoft,"Redmond, WA",10000+ Employees,1975.0,Company - Public (MSFT),$10+ billion (USD),www.microsoft.com/en-gb/,Computer Hardware Development,
14,14,Cardinal Health,"Dublin, OH",10000+ Employees,1971.0,Company - Public (CAH),$10+ billion (USD),www.cardinalhealth.com,Wholesale,"Headquartered in Dublin, Ohio, Cardinal Health, Inc. (NYSE: CAH) is a distributor of pharmaceuticals, a global manufacturer and distributor of medical and laboratory products, and a provider of performance and data solutions for healthcare facilities.


We are a crucial link ... Read more"
15,15,Chevron,"San Ramon, CA",10000+ Employees,1879.0,Company - Public (CVX),$10+ billion (USD),www.chevron.com,Energy & Utilities,"At Chevron, we are relentlessly focused on producing safe, reliable energy now and for the future. How are we doing it? By applying the energy we have most in abundance: Human Energy."
16,16,Home Depot,"Atlanta, GA",10000+ Employees,1978.0,Company - Public (HD),$10+ billion (USD),www.careers.homedepot.com,Home Furniture & Housewares Stores,"You may’ve seen our stores in your neighborhood because if you’re like 90% of the U.S. population, you live within 10 miles of one of our stores. Our 2,200 retail stores are an important part of our company and it takes a big behind-the-scenes team too. Let’s look at some of the reasons why more than 400,000 people choose to work with us:• We are the world’s largest home improvement retailer. Our scale and resources let us have a huge impact on the world of retail and in local communities.• In addition to our stores, we have distribution centers across the country and corporate offices in several major cities. There’s a good chance your next opportunity could be right in your backyard.• We take care of our people. Competitive pay, consistent schedules, great benefits, and even pet insurance are just a few of the highlights. • Over 35,000 veterans are continuing their careers with us. We value their unique skills, and we also help military spouses maintain and grow their careers when they move.• We have an inclusive, diverse culture, and we believe in giving back. Here, you can be yourself and be part of something much bigger.We’re proud to be recognized for being a great place to work by the following groups: •	Forbes Best Employers for Diversity 2020•	Comparably: Happiest Employees – Large Company Category and Best Companies for Work-Life Balance•	Mogul Top 100 Workplaces with the Greatest D&I Initiatives•	Military Friendly Employer – since 2001•	Forbes Best Employers for New Grads"
17,17,Walgreens Boots Alliance,"Deerfield, IL",10000+ Employees,2014.0,Company - Public (WBA),$10+ billion (USD),www.walgreensbootsalliance.com,Drug & Health Stores,"Alliance Boots Holdings makes an even bigger footprint in Europe's retail and wholesale drug markets since the UK's #1 drugstore chain, Boots the Chemists (BTC), combined its operations with that of drug wholesaler and retailer Alliance UniChem. Formed by the 2006 merger of the two firms, Alliance Boots Holdings is Europe's leading drug wholesaler, serving more than 140,000 pharmacies, hospitals, and clinics in about 16 countries, including China. The health and beauty group operates more than 3,200 pharmacies in the UK and more than a half a dozen European and Asian countries. US private-equity giant Kohlberg Kravis Roberts took the company private in 2007 in a deal valued at about $22.2 billion."
18,18,Marathon Petroleum,"Findlay, OH",10000+ Employees,1887.0,Company - Public (MPC),$10+ billion (USD),www.marathonpetroleum.com,Energy & Utilities,"Marathon Petroleum has a long running commitment to its customers. Spun off from Marathon Oil Corporation in 2011, the company operates six refineries with the capacity to process about 1.1 million barrels of crude oil a day. Marathon Petroleum sells refined products at some 5,100 Marathon-branded gas stations and through retail subsidiary Speedway SuperAmerica's 1,350 outlets. It also holds stakes in 4,500 miles of pipeline and is one of the largest asphalt and light oil product terminal operators in the US. The company distributes petroleum products wholesale to private-brand marketers and to large commercial and industrial consumers, as well as to the spot market. It has operations in almost 20 US states."
19,19,Elevance Health,"Indianapolis, IN",10000+ Employees,2004.0,Company - Public (ELV),$10+ billion (USD),www.elevancehealth.com,Health Care Services & Hospitals,"A Health Benefits Organization to a Lifetime, Trusted Health PartnerElevance Health is a health company dedicated to improving lives and communities – and making healthcare simpler. Previously known as Anthem, Inc., we have evolved into a company focused on whole health and updated our name to better reflect the direction the company is heading.Improving health means more than just treating what ails us – it means addressing the physical, behavioral and social drivers that impact whole health. Grounded in our mission and fueled by our bold and ambitious purpose to improve the health of humanity, we are committed to making whole health a reality for our consumers, their families, and our communities.Experience a career driven by collaboration, an inclusive spirit, and limitless opportunities to grow. Not only are we deeply committed to the people we serve, we’re deeply committed to each other as well. When you join our team, you will make an extraordinary impact surrounded by innovative, compassionate co-workers who support you at every stage of your career and help you pursue your passions — personally and professionally. We have even been named as a Fortune 100 Best Companies to Work For®, is ranked as one of the World’s Most Admired Companies among health insurers by Fortune magazine, and one of America’s Best Employers for Diversity by Forbes."
20,20,Kroger,"Cincinnati, OH",10000+ Employees,,Company - Public (KR),$10+ billion (USD),jobs.kroger.com,Grocery Stores,"At Kroger, we believe no matter who or where you are, you deserve affordable, easy-to-enjoy, fresh food. This idea is embodied in a simple tagline—Fresh for Everyone™.With annual sales of more than $121.1 billion, Kroger ranks as one of the world’s largest retailers. We are nearly half a million associates across 2,800 stores in 35 states under two dozen banners and in over 34 manufacturing and 44 distribution locations, all dedicated to living our Purpose: to Feed the Human Spirit™. Together, we serve over eleven million customers daily through seamless digital shopping, in our stores and through delivery, serving America through food inspiration and uplift.We are an associate-first, inclusive culture of diverse backgrounds, skills and experiences. Our people are essential to our success, and we focus intentionally on attracting, developing and engaging a diverse workforce that represents the communities we serve. We’re proud that our culture has been recognized among the best of the best by leading organizations including Forbes, Newsweek, the Human Rights Council, Computerworld, Diversity Equity Index and others."
21,21,Ford Motor,"Dearborn, MI",10000+ Employees,1903.0,Company - Public (F),$10+ billion (USD),corporate.ford.com/careers,Transportation Equipment Manufacturing,"OUR PURPOSEWe believe in the power of creating a world with fewer obstacles and limits, where people have the freedom to build a better life and pursue their dreams.To shorten the distance between where you are and where you want to go.To connect people down the road and over the horizon — to discover possibilities, and enjoy the thrill, adventure and pride of moving freely.From day one, we've provided people with tools to help them move forward and upward.We've innovated to expand their opportunities. And we've worked to earn their trust, every single day.We honor our legacy as we build the future – a better world for generations to come. Because when everyone is free to move, and free to dream, we do what we do best: we change the world.OUR HISTORYHenry Ford transformed not only the automobile but working life and the role of transportation. Having played our part in everything from the birth of the middle class to the recent global pandemic, we serve the world with integrity and competence. The Blue Oval is one of the most recognized corporate symbols in history, continually striving to earn the trust of all stakeholders.OUR CULTUREFord is a family company in more ways than one. The culture is anchored in shared beliefs and ideals, acting for the common good. As an organization, Ford believes everyone should have the freedom to move and pursue their dreams, and seeks to create a culture of belonging for every employee.Ford Motor Company (NYSE: F) is a global company based in Dearborn, Michigan. The company designs, manufactures, markets and services a full line of Ford trucks, utility vehicles, and cars – increasingly including electrified versions – and Lincoln luxury vehicles; provides financial services through Ford Motor Credit Company; and is pursuing leadership positions in electrification; mobility solutions, including self-driving services; and connected vehicle services.  Ford employs approximately 186,000 people worldwide. For more information regarding Ford, its products and Ford Motor Credit Company, please visit corporate.ford.com.Privacy Policy: https://www.ford.com/help/privacy/For career opportunities, please visit https://corporate.ford.com/careers.html."
22,22,Verizon Communications,"New York, NY",10000+ Employees,2000.0,Company - Public (VZ),$10+ billion (USD),verizon.com/jobs,Telecommunications Services,"Dream it. Build it. Do it here.Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect across the globe. We're a diverse network of people driven by our shared ambition to move the world forward - collectively building the network America relies on most. Here, we have the ability to learn and grow at the speed of technology, the space to create within every role, and the opportunity to shape a rewarding career.Together, we have a responsibility to our people and the world. From diversity and inclusion to equity and sustainability, we're committed to creating meaningful change and believe that diversity makes us stronger. That’s why we can celebrate 60% employee diversity in our workforce.If you want to move your career forward, join our V Teamers who are doing it every day. www.verizon.com/careers"
23,23,JPMorgan Chase,"New York, NY",10000+ Employees,1799.0,Company - Public,$10+ billion (USD),www.jpmorganchase.com/,Banking & Lending,
24,24,General Motors,"Detroit, MI",10000+ Employees,1908.0,Company - Public (GM),$10+ billion (USD),www.gm.com,Transportation Equipment Manufacturing,"At GM, our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer, and more equitable for all. Not only that, but as an employer our top priority is to ensure that our people are able to grow in their career, meaningfully contribute to our mission, and build a rewarding, fulfilling life.  Because when it comes to a career at General Motors, Better is Only the Beginning. It is our aspiration to become the most inclusive company in the world. We believe we all must make a choice every day – individually and collectively – to drive meaningful change through our words, our deeds and our culture. One team, where all ideas are considered and heard, where everyone can contribute to their fullest potential, with a culture based in respect, integrity, accountability and equality. Together, we want to make electric vehicles for everyone and safely push transportation beyond our wildest imaginations with autonomous vehicles and advance hydrogen fuel cell technology. We will expand our horizons through new technology platforms and create innovations that deliver customer value. Our diverse workforce of 164,000 employees brings their collective passion for engineering, technology, and design to help us deliver on this ambitious future. While we are proud of our achievements so far, there is more work to be done.  Join us today: http://careers.gm.com."
25,25,Centene,"Saint Louis, MO",10000+ Employees,1984.0,Company - Public (CNC),$10+ billion (USD),www.centene.com,Insurance Carriers,"Since our founding as a single healthcare plan in 1984, Centene has focused on improving the health of the communities we serve. As a FORTUNE 30® company, we still believe that healthcare is best delivered locally. Our health plans offer a range of insurance solutions, including accessible care for uninsured and underinsured individuals. At Centene, we challenge ourselves to make the world better by providing resources for the continued growth and education of our employees. Centene offers many learning opportunities for our employees to develop in their careers. Learning is supported in multiple mediums, such as on-the-job training and online learning, to help further the skills of our workforce.As we continue serving our members through our innovative and high-quality services, our commitments to the lives of families, seniors, children, people with disabilities, and many others help fulfill our purpose: to transform the health of our communities, one person at a time."
26,26,Meta Platforms,"Menlo Park, CA",10000+ Employees,2004.0,Company - Public (META),$10+ billion (USD),www.facebook.com,Internet & Web Services,"The Facebook company is now Meta. Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. "
27,27,Comcast,"Philadelphia, PA",Unknown,,Company - Public,Unknown / Non-Applicable,www.xfinity.com/,Internet & Web Services,
28,28,Phillips 66,"Houston, TX",10000+ Employees,2012.0,Company - Public (PSX),$10+ billion (USD),www.phillips66.com,Energy & Utilities,"With more than 140 years of experience, we are well-positioned to help fulfill global energy needs. We are a diversified energy manufacturing and logistics company with unique businesses in Refining, Midstream, Chemicals and Marketing and Specialties. 

For more information, ... Read more"
29,29,Valero Energy,"San Antonio, TX",10000+ Employees,1980.0,Company - Public (VLO),$10+ billion (USD),www.valero.com,Energy & Utilities,"Valero Energy Corporation, through its subsidiaries (collectively, “Valero”), is an international manufacturer and marketer of transportation fuels and petrochemical products. Valero is a Fortune 50 company based in San Antonio, Texas, and it operates 15 petroleum refineries with a combined throughput capacity of approximately 3.1 million barrels per day and 14 ethanol plants with a combined production capacity of 1.73 billion gallons per year. The petroleum refineries are located in the United States, Canada and the United Kingdom, and the ethanol plants are located in the Mid-Continent region of the U.S. Valero also is a joint venture partner in Diamond Green Diesel, which operates a renewable diesel plant in Norco, Louisiana. Diamond Green Diesel is North America’s largest biomass-based diesel plant. Valero sells its products in the wholesale rack or bulk markets in the U.S., Canada, the U.K., Ireland and Latin America. Approximately 7,000 outlets carry Valero’s brand names."
30,30,Dell Technologies,"Round Rock, TX",10000+ Employees,1984.0,Company - Public (DELL),$10+ billion (USD),jobs.dell.com/,Information Technology Support Services,"We believe that each of us has the power to make an impact. That’s why we put our team members at the center of everything we do. If you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you. Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us.  "
31,31,Target,"Minneapolis, MN",10000+ Employees,1962.0,Company - Public (TGT),$10+ billion (USD),www.target.com,General Merchandise & Superstores,"Target is one of the world’s most recognized brands and one of America’s leading retailers. Serving guests at over 1,800 stores nationwide and on Target.com, we make Target our guests’ preferred shopping destination by offering outstanding value, inspiration, innovation and an exceptional guest experience that no other retailer can deliver. Target is committed to responsible corporate citizenship, ethical business practices, environmental stewardship and generous community support. Since 1946, we have given 5 percent of our profits back to our communities. Our goal is to work as one team to fulfill our unique brand promise to our guests, wherever and whenever they choose to shop."
32,32,Fannie Mae,"Washington, DC",5001 to 10000 Employees,1938.0,Company - Public (FNMA),$10+ billion (USD),www.fanniemae.com,Banking & Lending,"We are Future Makers at Fannie Mae, and our mission is to deliver stability and affordability to America’s housing market. We help make the 30-year, fixed-rate mortgage possible, and we’re passionate about increasing access to affordable housing, advancing technology to build a better mortgage process, and creating green finance products to drive environmental sustainability. Are you a Future Maker looking to join a diverse, collaborative team? We welcome your interest in helping us tackle tomorrow’s challenges today.We continue to hire for all open roles, with interviewing and onboarding conducted virtually until further notice. Fannie Mae is an Equal Opportunity Employer."
33,33,UPS,"Atlanta, GA",10000+ Employees,1907.0,Company - Public (UPS),$10+ billion (USD),www.upsjobs.com,Taxi & Car Services,"Every day at UPS, our people are responsible for the movement of goods, funds and information in more than 200 countries and territories.As UPS has evolved from a Seattle-based bike messenger company into a multi-billion-dollar global corporation, our team has held a singular focus—empowering commerce around the world. Today, UPS is the world's largest package delivery company and a leading global provider of specialized transportation and logistics services.Whether we’re connecting with global giants or local mom and pop businesses, our people are at work improving distribution networks and managing supply chains—helping our customers to do what they do best. UPS makes the world work better."
34,34,Lowe's,"Los Angeles, CA",1001 to 5000 Employees,1972.0,Company - Private,$500 million to $1 billion (USD),www.lowe-re.com,Real Estate,"Lowe is a leading national real estate company, privately owned by a group of active and retired employees, with 47 years of real estate investment, development and management experience.  We uncover and deliver value beyond what might be expected from a traditional real estate company.  We value collaboration and partnership with others, welcoming new ideas and perspectives.Since 1972, Lowe has acquired, developed or managed in excess of $29 billion in real estate assets. We are headquartered in Los Angeles and have regional offices in Oakland, San Diego, Irvine, Denver, Seattle, Charleston and Washington, DC.Lowe is committed not to a single service, property type or location, but to mastering the process of building value in real estate.  We acquire, develop and manage commercial, hotel, multifamily and retail properties.  Often, we get the opportunity to combine all of these skills to create a new mixed-use environment.Through our foundation of steadfast values and innovative real estate services we strive to bridge meaningful and positive human experiences with financial performance.  We tailor our approach to the needs of each asset and the goals of each partner and find opportunity in complex challenges.As a company we share core beliefs that guide and shape all of our interactions.  We believe that’s what encourages good people to make their careers here and forges the lasting relationships we value so highly with our partners.  We believe that people – the people who work with us, the people who use our properties, and the people we serve – are the most valuable asset in real estate."
35,35,Bank of America,"Charlotte, NC",10000+ Employees,1904.0,Company - Public (BAC),$10+ billion (USD),www.bankofamerica.com,Banking & Lending,"Bank of America is one of the world's largest financial institutions, serving individuals, small- and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. The company serves approximately 56 million U.S. consumer and small business relationships. It is among the world's leading wealth management companies and is a global leader in corporate and investment banking and trading."
36,36,Johnson & Johnson,"New Brunswick, NJ",10000+ Employees,1887.0,Company - Public (JNJ),$10+ billion (USD),www.jnj.com,Biotech & Pharmaceuticals,"Imagine using your passion and knowledge to change humankind for the better. At Johnson & Johnson, we’ve created an inclusive culture where a diversity of backgrounds and beliefs move us closer to the next great breakthrough. You’ll be empowered to explore your interests while pursuing your passion across three sectors – Pharmaceuticals, Medical Devices, and Consumer Health. It’s never boring because every day is an opportunity to shape the future. Whether it’s creating innovative solutions that speed up the processes that get vital treatments to patients, researching Artificial Intelligence and machine learning that will make surgery safer, or sparking groundbreaking lab discoveries that bring us closer to cures for diseases like Alzheimer’s, this is a place where you can make a real difference. Working at the world’s largest and most broadly-based healthcare company, you’ll join a team of 134,000 people at 260 companies in more than 60 countries across the world as we harness our collective brilliance to profoundly change the trajectory of health for humanity."
37,37,Archer Daniels Midland,"Chicago, IL",10000+ Employees,1902.0,Company - Public (ADM),$10+ billion (USD),www.adm.com/,Food & Beverage Manufacturing,"Archer Daniels Midland Company is one of the largest agricultural processors in the world. Serving as a vital link between farmers and consumers, we take crops and process them to make food ingredients, animal feed ingredients, renewable fuels and naturally derived alternatives to industrial chemicals.Because everything ADM does begins with agriculture, our partnership with the farming community is vital. Farmers are essential to the overall economy, and that's why we work to be essential to them - creating thousands of products from their crops, hundreds of markets for their crops.Founded in 1902 and incorporated in 1923, ADM is headquartered in Chicago, Illinois, and operates processing and manufacturing facilities across the United States and worldwide. Through our extensive global distribution facilities and capabilities, ADM makes a significant contribution to the world's economy and quality of life."
38,38,FedEx,"Coraopolis, PA",10000+ Employees,2000.0,Subsidiary or Business Segment,$10+ billion (USD),www.fedex.com/us/ground,Taxi & Car Services,"FedEx Ground, a subsidiary of FedEx Corp. (NYSE: FDX), is headquartered in Pittsburgh, Pa., and is a leader in cost-effective package ground shipping, offering dependable service to businesses and residential customers throughout the U.S. and Canada. Through more than 180,000 employees, 637 distribution hubs and local pickup-and-delivery stations, and 95,000 motorized vehicles operated by 5,400 locally-owned small businesses, FedEx Ground transported more than 12 million packages a day in its latest fiscal quarter. The company reported annual revenue of $30.5 billion in fiscal year 2020."
39,39,Humana,"Louisville, KY",10000+ Employees,1961.0,Company - Public (HUM),$10+ billion (USD),careers.humana.com/,Health Care Services & Hospitals,"Health is at the core of Humana. Headquartered in Louisville, Kentucky, Humana is a leading healthcare company that offers a wide range of products, healthcare services and wellness solutions by incorporating an integrated approach to lifelong well-being. If you are looking for a career that provides opportunities for growth and development in a stable industry, consider a career with Humana. The company offers a variety of benefits including competitive, performance-based wages, retirement plans, medical, dental, vision and life insurance, on-site health screenings and personal health coaching, paid time off, tuition assistance, leadership development, mentorships and much more."
40,40,Wells Fargo,"San Francisco, CA",10000+ Employees,1852.0,Company - Public (WFC),$10+ billion (USD),www.wellsfargojobs.com,Banking & Lending,"Wells Fargo & Company (NYSE: WFC) is a diversified, community-based financial services company with $1.98 trillion in assets. Wells Fargo’s vision is to satisfy our customers’ financial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, investment and mortgage products and services, as well as consumer and commercial finance, through 7,400 locations, more than 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 31 countries and territories to support customers who conduct business in the global economy. With approximately 263,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo & Company was ranked No. 30 on Fortune’s 2020 rankings of America’s largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories. Additional information may be found at www.wellsfargo.com | Twitter: @WellsFargo."
41,41,State Farm Insurance,"Bloomington, IL",10000+ Employees,1922.0,Company - Private,$10+ billion (USD),www.statefarm.com,Insurance Carriers,"Being a good neighbor is about more than just being there when things go completely wrong. It's also about being there for all of life's moments when things go perfectly right.With a passion for serving customers and giving back in our communities, we've been doing well by doing good for almost 100 years. And we're happy you decided to get to know us better."
42,42,Pfizer,"New York, NY",10000+ Employees,1849.0,Company - Public (PFE),$10+ billion (USD),www.pfizer.com,Biotech & Pharmaceuticals,"At Pfizer, we apply science and our global resources to bring treatments and therapies to people all over the globe. Every day, we work to advance wellness, prevention, treatments and cures that challenge the most feared diseases of our time.  For more than 150 years, we’ve ... Read more"
43,43,Citigroup,"New York, NY",10000+ Employees,1812.0,Company - Public (C),$10+ billion (USD),www.citigroup.com,Investment & Asset Management,"Citi is more than a global financial services company. It’s an engine for progress. Join us, and you’ll have the chance to get involved in progress in all its shapes and forms, right across the world. From the micro to the macro, from Australia to Zambia, the work we do has real positive impact. Wherever you are and whatever you do, progress starts here. We’ve built a world famous, trusted brand over 200 years of continuously evolving financial services. And today, our influence continues to grow: with financial operations in 160 countries and 100 currencies. We have 200 million different clients, including some of the biggest names in the industries, sectors, businesses and governments that we serve every day. It all adds up to an exciting place to be for talented, ambitious people who want to build a truly remarkable career.Build your careers with Citi and be surrounded by brilliant minds - experts in their fields and you'll be able to draw on a huge variety and history of industry knowledge. Our business thrives even in the most challenging times, and our colleagues enjoy all the benefits that come with a truly global presence and deep client commitment. We offer a huge range of opportunities, for all experience levels. To find out more about the roles available in your region and apply, please visit www.jobs.citi.com"
44,44,PepsiCo,"Purchase, NY",10000+ Employees,1965.0,Company - Public (PEP),$10+ billion (USD),www.pepsico.com,Food & Beverage Manufacturing,"PepsiCo is a global food and beverage leader with a product portfolio including 22 brands that generate more than $1 billion each in annual retail sales. Our main businesses – Quaker, Tropicana, Gatorade, Frito-Lay and Pepsi-Cola – make hundreds of enjoyable foods and beverages that are loved throughout the world.At PepsiCo, you get the best of both worlds: an entrepreneur’s mindset plus reach and resources. Our collaborative culture and worldwide presence generate a stream of new opportunities to define the future and propel your life’s work. Bring your unique perspective. Bring curiosity. Bring ingenuity, and drive. We’ll give you a platform to be daring on a global scale."
45,45,Intel,"Santa Clara, CA",10000+ Employees,1968.0,Company - Public (INTC),$10+ billion (USD),jobs.intel.com/,Computer Hardware Development,"Intel’s mission is to shape the future of technology to help create a better future for the entire world. By pushing forward in fields like AI, analytics and cloud-to-edge technology, Intel’s work is at the heart of countless innovations. From major breakthroughs like self-driving cars and rebuilding the coral reefs, to things that make everyday life better like blockbuster effects and improved shopping experiences — they’re all powered by Intel technology. With a career at Intel, you have the opportunity to help make the future more wonderful for everyone.Join us."
