,name,Pros,Cons
10,World Fuel Services,"['""world fuel service has good benefit and PTO."" (in 46 reviews)', '""Good people and reputation in marketplace"" (in 31 reviews)', '""Decent pay but that has been frozen for 2 years now!"" (in 20 reviews)', '""Great colleagues but apart from that nothing to look forward to"" (in 10 reviews)', '""Good work environment ."" (in 9 reviews)']","['""1) Poor management with no vision n directions."" (in 30 reviews)', '""heavy management team along with the the vast amount of middle managers have completely lost their way and core"" (in 15 reviews)', '""Leaders at every level are insecure and spineless due to the \'gotcha\' toxic culture set at the top."" (in 15 reviews)', '""No work life balance as expected to answer emails all hours of the night"" (in 13 reviews)', '""In general low salaries."" (in 12 reviews)']"
11,Performance Food Group,"['""Always have work and good pay"" (in 103 reviews)', '""They have good benefits and 401k"" (in 58 reviews)', '""Great people and goal setting."" (in 46 reviews)', '""Money can be good hours good"" (in 32 reviews)', '""Fair salary in my department"" (in 16 reviews)']","['""Management is poor and they don’t care about you"" (in 53 reviews)', '""Long hours.. Couple days at a time away from home.. Some of your co"" (in 40 reviews)', '""Upper management is hostile without any concern for the customer."" (in 20 reviews)', '""No training whatsoever ."" (in 18 reviews)', '""Awful pay and very long hours"" (in 15 reviews)']"
12,Delta Air Lines,"['""Great benefits and the on reserve life is only 6 days a week which is better than any other airline."" (in 694 reviews)', '""Great flight benefits at major air line that strives to be and is the best."" (in 628 reviews)', '""Great people and very passionate"" (in 273 reviews)', '""Great travel benefits and very accommodating company in regards to hearing how to improve the operation"" (in 272 reviews)', '""the pay is great but its only part time 20 hours a week that it!"" (in 240 reviews)']","['""Poor management"" (in 201 reviews)', '""Long hours and the necessity to stand on long flights get to be a killer after a while."" (in 126 reviews)', '""No work life balance in small stations"" (in 72 reviews)', '""low salary to start out takes several years to get good pay"" (in 57 reviews)', '""Too much favoritism, for promotions they mostly go by who networks and knows more people"" (in 41 reviews)']"
13,American Airlines Group,"['""flights benefits are great and being the biggest airlines in the world lets me move to any position i want !"" (in 745 reviews)', '""Flight benefits were great however you have to wait for 6 months for international flights."" (in 635 reviews)', '""Is a great place to work at with great travel benefits for friends and family."" (in 347 reviews)', '""The other people you work with are great and are the real reasons to stay."" (in 278 reviews)', '""Flexible schedules are available for 20+ years of service"" (in 95 reviews)']","['""Poor management and schedule now"" (in 276 reviews)', '""The pay was low and understaffed"" (in 275 reviews)', '""The long hours and living out of your suitcase for days on end can be challenging."" (in 146 reviews)', '""Low salary and not time during the job for keep trainings"" (in 115 reviews)', '""Bad manager not understandable at all"" (in 81 reviews)']"
14,Netflix,"['""Good pay and being attached to the Netflix name is a big plus."" (in 157 reviews)', '""Great benefits for families and web"" (in 124 reviews)', '""Netflix is staffed with great people and those that are not so great get terminated."" (in 117 reviews)', '""great culture and a lot of talent"" (in 109 reviews)', '""The motto \'Freedom and responsibility\' is deeply lived at all levels of the organization."" (in 90 reviews)']","['""Management is horrible."" (in 58 reviews)', '""Long hours and nights but worth it."" (in 47 reviews)', '""In last 3 months all the good managers were fired or they work in california"" (in 46 reviews)', '""No work life balance"" (in 39 reviews)', '""Very political and the culture of fear is real."" (in 26 reviews)']"
15,Paramount Global,,
16,US Foods Holding,,
17,Danaher,"['""The benefits are good; on par with the offerings prior to Danaher acquisition."" (in 36 reviews)', '""Great Learning place and people"" (in 25 reviews)', '""actually very good culture"" (in 21 reviews)', '""Great opportunities if you\'re willing to sacrifice and work extremely hard."" (in 17 reviews)', '""Good pay but could be better"" (in 15 reviews)']","['""No work/life balance"" (in 22 reviews)', '""Management didn\'t care about the employees."" (in 21 reviews)', '""Direct manager had no control or backbone to stand up for his/her team."" (in 15 reviews)', '""Poor at true innovation and creative marketing & sales strategies."" (in 7 reviews)', '""Disrespectful upper management openly lies about firing practices."" (in 6 reviews)']"
18,Jabil,"['""Great people and fun to work for Jabil."" (in 114 reviews)', '""Good benefits and also culture"" (in 101 reviews)', '""like the job i worked in vibe cleaning and polishing surgical parts for humans and animals good pay and like the overtime"" (in 65 reviews)', '""Good salary and carrier growth"" (in 63 reviews)', '""Culture is great."" (in 54 reviews)']","['""The management is bad"" (in 86 reviews)', '""Turn over very high and no work life balance"" (in 63 reviews)', '""To managers and Directors!"" (in 29 reviews)', '""Long hours and weekends."" (in 23 reviews)', '""less allowance extended working hours"" (in 20 reviews)']"
19,Starbucks,"['""The benefits are great and the fact that they offer them for all partners is amazing."" (in 7581 reviews)', '""Free drinks while you are working (as well as 30 mins before and after your shift)"" (in 2677 reviews)', '""You get free coffee and good discounts"" (in 2511 reviews)', '""Met some great people there but the revolving door ratio is very high and not much people stay long"" (in 2263 reviews)', '""Hours are flexible and allow you to manage your schedule pretty well (if you\'re a barista)."" (in 2019 reviews)']","['""Pay is low and job can be overwhelming when working with barista’s that can’t perform a certain role."" (in 3212 reviews)', '""Poor management at my specific store (new people/supervisors were inexperienced or simply unwilling to help)"" (in 2282 reviews)', '""Bad managers sometimes picked on me or withheld competition prizes from me after I won."" (in 1602 reviews)', '""Poor upper management."" (in 473 reviews)', '""You know how good or bad the store manager after one month."" (in 437 reviews)']"
20,Mondelez International,"['""People are great and genuinely care about you"" (in 225 reviews)', '""The benefits of the company were good"" (in 183 reviews)', '""Pay is good and they provide full time"" (in 156 reviews)', '""Great culture and a driven business"" (in 124 reviews)', '""Flexible and good work life balance"" (in 123 reviews)']","['""The management is poor."" (in 117 reviews)', '""Top Managers like Area Sales Managers do a micro management"" (in 63 reviews)', '""poor leadership especially in CS&L."" (in 33 reviews)', '""hold, and no training budget for any levels below directors, no rotation program for employees."" (in 26 reviews)', '""poor communication between mgmt and sales reps"" (in 26 reviews)']"
21,EliLilly,"['""Benefits are great and good"" (in 347 reviews)', '""Lots of great people working there and a decent place to get started in your career."" (in 245 reviews)', '""They truly care for the well being of their employees and strive for a good work / life balance for their employees"" (in 197 reviews)', '""Great Culture and very patient centered"" (in 169 reviews)', '""Good pay and hours for entry level"" (in 115 reviews)']","['""Talent identification for succession management is poor."" (in 101 reviews)', '""Way too many managers even with the deep cuts."" (in 48 reviews)', '""Senior leadership and incentive packages"" (in 39 reviews)', '""Lack of diversity and perhaps inclusion"" (in 29 reviews)', '""Frequent layoffs and restructures."" (in 23 reviews)']"
22,Hewlett Packard Enterpri,,
23,D.R. Horton,"['""Good benefits; stock purchase plan"" (in 76 reviews)', '""Pay was good and benifits"" (in 41 reviews)', '""Great people to work with and for!"" (in 36 reviews)', '""If it weren\'t for the strength of the parent company and the quarterly bonuses most employees would probably seek other opportunities."" (in 15 reviews)', '""Great work environment."" (in 12 reviews)']","['""Horrible management who would put you down for not selling in an overpriced community with no inventory."" (in 47 reviews)', '""Upper management and expectations were a bit unrealistic. ."" (in 27 reviews)', '""There was NO training and sales staff at our communities fumbled through computer programs and pricing for upgrades."" (in 23 reviews)', '""No work life balance."" (in 22 reviews)', '""Long hours and dealing with angry customers"" (in 20 reviews)']"
24,Molina Healthcare,"['""The benefits are good and working remotely is positive."" (in 202 reviews)', '""The pay was good and it was in downtown Long Beach close to Farmers Market and freeway accessible."" (in 128 reviews)', '""People are great and really want to succeed if they let them."" (in 104 reviews)', '""Work from home, flexible schedules"" (in 63 reviews)', '""Was an Great Environment and coworkers"" (in 47 reviews)']","['""Poor management with not a lot of years of experience"" (in 149 reviews)', '""There was no training involved and barely had an understanding of how the organization was set up."" (in 64 reviews)', '""Promotions are based on friendship and who has \'pet\' status with the senior leadership."" (in 46 reviews)', '""We all know that working for a bad manager at a great company is still a bad experience."" (in 39 reviews)', '""Favoritism and AGEISM are alive and well at Molina."" (in 37 reviews)']"
25,CBRE Group,"['""This job is very flexible and the people I work with are great!"" (in 409 reviews)', '""They have pretty good benefits & try to be as green a company as possible."" (in 387 reviews)', '""Culture is great and very friendly."" (in 225 reviews)', '""Positove and good work life balance."" (in 224 reviews)', '""pay was good and some of the people were alright"" (in 224 reviews)']","['""poor management and lack of organization"" (in 310 reviews)', '""Annual Salary was low compared to competitive firms"" (in 174 reviews)', '""Managers do whatever they like"" (in 121 reviews)', '""No training for employees for handling of people / manager."" (in 93 reviews)', '""Long hours wouldn\'t be a problem if the pay for valuation analysts wasn\'t so low."" (in 84 reviews)']"
26,Micron Technology,"['""Good benefits if you do your part and do well and succeed in your tasks + overachieve to bring in organizational development and growth."" (in 381 reviews)', '""Pay is good for Boise area since cost of living is generally lower than many other metro areas."" (in 299 reviews)', '""Great people and the company spends to ensure things get done right the first time."" (in 235 reviews)', '""Good Salary and bonuses."" (in 176 reviews)', '""culture is good and care for employee."" (in 139 reviews)']","['""There is not much transferable skills and no work life balance"" (in 381 reviews)', '""3) Management\'s planning is poor and sometimes unrealistic."" (in 191 reviews)', '""Individual managers have too much control with no oversight to prevent abuse of employees"" (in 89 reviews)', '""Working late hours and 24/7 standby"" (in 81 reviews)', '""Frequent layoffs and constantly losing money, which is the nature of the industry because of too much capacity worldwide."" (in 59 reviews)']"
27,Broadcom,"['""The people I work with are great and the direct managers I worked with are approachable and willing to help."" (in 209 reviews)', '""The working time is quite flexible.Compensation and benefits are good."" (in 188 reviews)', '""1. Overall CTC (Pay) is good (due to RSUs and ESPP option)"" (in 170 reviews)', '""Stock price is good if you have a lot of them salary is about average."" (in 160 reviews)', '""Good compensation is offered by the company and work in electronic city where rent is less"" (in 133 reviews)']","['""bad management and not that efficient."" (in 146 reviews)', '""no work life balance and"" (in 122 reviews)', '""Frequent layoffs and reorgs."" (in 77 reviews)', '""No job security since lot of firings are happening at each and every quarter end."" (in 68 reviews)', '""Managers do not appreciate rightful Employees"" (in 54 reviews)']"
28,Gilead Sciences,"['""Good benefits and cares about employees"" (in 193 reviews)', '""Great for people entering the industry"" (in 110 reviews)', '""The pay was good but now other companies are at the same level or above."" (in 60 reviews)', '""Good salaries & benefits"" (in 44 reviews)', '""Work on Meaningful projects with Smart colleagues"" (in 31 reviews)']","['""There is no work life balance and you\'re physically and mentally exhausted every day."" (in 111 reviews)', '""Poor management generally"" (in 81 reviews)', '""Culture is toxic"" (in 58 reviews)', '""Bad bonuses and awful upper management"" (in 35 reviews)', '""Consider above mentioned individuals as leaders however on the whole, these people are micro managers"" (in 35 reviews)']"
29,PBF Energy,"['""good pay and bonus when company profits"" (in 33 reviews)', '""Benefits are good"" (in 22 reviews)', '""Good people"" (in 19 reviews)', '""The money is good but no longevity with this corporation."" (in 4 reviews)', '""Great 401k and pension"" (in 4 reviews)']","['""Management is very blind to the daily operations work that exist."" (in 9 reviews)', '""Shift work."" (in 3 reviews)', '""Upper management is abusive and Corporate HR does nothing to protect employees from abusive leadership structure."" (in 3 reviews)']"
30,Lennar,"['""good pay and a lots benefit"" (in 44 reviews)', '""Benefits are good"" (in 41 reviews)', '""The people were nice and the work atmosphere was amazing."" (in 34 reviews)', '""Great culture and place to work"" (in 23 reviews)', '""Big quarterly bonus"" (in 12 reviews)']","['""Poor Management."" (in 57 reviews)', '""No work/life balance"" (in 20 reviews)', '""Lots to accomplish with no training."" (in 20 reviews)', '""Upper Management should do better in communicating with staff."" (in 18 reviews)', '""Managers have only been put into their position because they have been in great communities where it was easy to sell."" (in 16 reviews)']"
31,United Natural Foods,"['""The pay is good if you’re willing to do the work of two or three people to get it."" (in 168 reviews)', '""Good benefits that are not terribly exoensive."" (in 144 reviews)', '""Most people I worked with were great and I built a lot of solid relationships over the years."" (in 113 reviews)', '""Coworkers are great and hardworking."" (in 26 reviews)', '""employees are friendly"" (in 24 reviews)']","['""The management is poor and warehouse lacks organization."" (in 114 reviews)', '""Long hours which are a part of working in the retail trade regardless of employer."" (in 66 reviews)', '""Upper management is a revolving door."" (in 41 reviews)', '""There is no work life balance"" (in 40 reviews)', '""Poor leadership and follow through."" (in 39 reviews)']"
32,NRG Energy,"['""They paid well and benefits were good"" (in 69 reviews)', '""Lots of standing but the pay is good"" (in 62 reviews)', '""Great people to work with; never a shortage of challenges to stretch yourself and build skills with."" (in 54 reviews)', '""Good work/life balance (depending on manager)"" (in 27 reviews)', '""Good salary corresponding with level of experience"" (in 16 reviews)']","['""This company suffers from bad management."" (in 34 reviews)', '""Seems like a lots of unneeded upper management"" (in 14 reviews)', '""Market forces caused considerable layoffs."" (in 10 reviews)', '""Offered NO training / mentoring to bridge lack of energy industry experience which was a requirement for a permanent position!"" (in 9 reviews)', '""long hours and confusing stragedy"" (in 7 reviews)']"
33,Nvidia,"['""people here are smart and passionate about their job."" (in 321 reviews)', '""Great culture around designing the highest performance products based on what can be done verses what is \'good enough\'."" (in 223 reviews)', '""good benefits and very considerate"" (in 216 reviews)', '""good work culture and policies"" (in 194 reviews)', '""Good salaries and very accomodating"" (in 152 reviews)']","['""Less work life balance and no extra activities."" (in 198 reviews)', '""One of the best places to work (only if you end up under a good manager)."" (in 85 reviews)', '""Sometimes you have to work long hours and not very well compensated."" (in 37 reviews)', '""Apathy by middle management towards employees."" (in 10 reviews)', '""Favoritism is big time."" (in 9 reviews)']"
34,Occidental Petroleum,"['""Good benefits and 401k"" (in 128 reviews)', '""Good people and company is on solid financial footing."" (in 69 reviews)', '""Pay is good and you can work in peace."" (in 62 reviews)', '""Work life balance is good in recent years"" (in 27 reviews)', '""Great corporate environment and culture."" (in 24 reviews)']","['""Massive turn overs due to bad management."" (in 37 reviews)', '""Upper management is disorganized"" (in 20 reviews)', '""Good managers are rare."" (in 17 reviews)', '""No training or career progression to non locals"" (in 14 reviews)', '""Long hours and oil downturn hurt company"" (in 10 reviews)']"
35,Salesforce,"['""Salesforce promotes a great culture as a company and that is reflected in the employees\' interactions at the company"" (in 1480 reviews)', '""great benefits and they tried to make the interns feel a part of the company despite being remote"" (in 1418 reviews)', '""They hire a great bunch of people and generally people in SFDC are smart and team players."" (in 989 reviews)', '""Good Work life balance and OOM"" (in 665 reviews)', '""very suitable to work and good pay"" (in 404 reviews)']","['""Poor management (both middle management and executives)"" (in 293 reviews)', '""Bad managers thrive creating terrible and deep differences between departments and culture."" (in 250 reviews)', '""long hours and fast moving pace so business constantly changing (not necc a bad thing)"" (in 86 reviews)', '""Complacent middle management"" (in 50 reviews)', '""Upper management is completely clueless about anything that doesn\'t appear on their dashboard."" (in 45 reviews)']"
36,Dollar Tree,"['""Great people and seeing regulars"" (in 308 reviews)', '""flexible hours not too much of a commitment takes a while to get the hang of but becomes super easy."" (in 252 reviews)', '""Coworkers are nice and helpful"" (in 189 reviews)', '""Flexible schedules and pretty laid back work environment make working around school and other job schedules much easier than some other jobs"" (in 111 reviews)', '""Great employees and the best customers"" (in 85 reviews)']","['""Low pay except you to do everything with little to no help cheap at anything and everything"" (in 721 reviews)', '""level personnel; good managers don\'t last long there; interest and empathy soon turn to disassociation and apathy"" (in 272 reviews)', '""Promotions are often out of necessity (high turnover) so there is a great deal of bad management"" (in 253 reviews)', '""Poor upper management."" (in 124 reviews)', '""The job pays minimum wage and no benefits even if you work close to 40 hours a week"" (in 120 reviews)']"
37,KKR,"['""EA\'s are great people to work with."" (in 39 reviews)', '""Great platform with excellent culture and well positioned to grow"" (in 22 reviews)', '""Great benefits; food and drinks are always available; free tickets to sports and theater event."" (in 12 reviews)', '""Good pay and great co"" (in 8 reviews)', '""Interesting sector, some great colleagues across the board, v professional workplace, fast and hectic"" (in 8 reviews)']","['""Long hours and hard to balance work life as you can easily burn out"" (in 20 reviews)', '""bad work life balance and top"" (in 15 reviews)', '""Employee burnout due to long hours and face time requirements."" (in 7 reviews)', '""slow salary and delayed salary"" (in 4 reviews)', '""Management is great in managing up, not so great downward."" (in 4 reviews)']"
38,Kraft Heinz,"['""The great people that are left need to figure out if they want to stay and tough it out or find something else."" (in 357 reviews)', '""Good benefits and a commitment to market research"" (in 272 reviews)', '""The pay is good and there are still some people left from the old Kraft Foods"" (in 271 reviews)', '""Salaries are good and like most large corporations they offer equity as part of their compensation."" (in 120 reviews)', '""Great opportunities to advance your career from very early on"" (in 104 reviews)']","['""There is no work/life balance (I worked nights & weekends when not in the office"" (in 261 reviews)', '""Management is poor at communicating and leaders don\'t step up and lead!"" (in 199 reviews)', '""The culture is terrible and the turnaround of staff at all levels is ridiculous."" (in 185 reviews)', '""People are stressed to perform well in the quarterly reviews and spend long hours at the office."" (in 120 reviews)', '""HR spends more time defending poor leadership behavior and choices than trying to change it and join the 21st century."" (in 113 reviews)']"
39,Amgen,"['""By working there as a full time employee you will work on a beautiful campus and receive great benefits."" (in 526 reviews)', '""People are great and they are always willing to help."" (in 259 reviews)', '""Every mgr I\'ve had has exemplified the Amgen values of putting the patient first and promoting a good work/life balance."" (in 161 reviews)', '""Good pay and has good benefits"" (in 137 reviews)', '""Amgen is a great place to work with good benefits and even better culture"" (in 132 reviews)']","['""Poor management not fare assessment"" (in 117 reviews)', '""Frequent layoffs and reorganizations which seemed to be due to planning issues and moving work overseas."" (in 78 reviews)', '""Amgen hires the best talent but many of the managers need to be trained extensively on how to lead others or manage people"" (in 58 reviews)', '""All senior leadership claim they have no power and none of them can make a decision on their own."" (in 43 reviews)', '""Upper management is biased."" (in 35 reviews)']"
40,AutoNation,"['""The pay is good and I loved working with the customers"" (in 98 reviews)', '""Benefits are good"" (in 76 reviews)', '""About the only pro I have is the people I work with are great people."" (in 74 reviews)', '""Good training but they dont put in practice what you learned."" (in 58 reviews)', '""It\'s alright money is good"" (in 42 reviews)']","['""Long hours and lots of walking"" (in 114 reviews)', '""Poor management for most cases"" (in 110 reviews)', '""Store level managers have very little authority."" (in 63 reviews)', '""poor payplan, horrible long hours go unappreciated."" (in 43 reviews)', '""No work life balance!"" (in 24 reviews)']"
41,Penske Automotive Group,"['""Good Benefits, Co"" (in 37 reviews)', '""Great people to work with"" (in 19 reviews)', '""Friendly Staff They actually take care of their employees other than some dealers!"" (in 14 reviews)', '""They do a good job of keeping the employees happy and the managers in check."" (in 12 reviews)', '""Fortune 500 company with great facilities!"" (in 10 reviews)']","['""Pay is low for entry"" (in 29 reviews)', '""Horrible management and seeing everyone as a number and not a person"" (in 25 reviews)', '""Long hours and no consistent pay"" (in 21 reviews)', '""Not for everyone, you will need come with the expectations of long hours and hard work."" (in 11 reviews)', '""Terrible work life balance."" (in 9 reviews)']"
42,PayPal Holdings,"['""The benefits are good and the work atmosphere was wonderful."" (in 625 reviews)', '""Good work life balance is good"" (in 562 reviews)', '""peers were supportive and it was great to meet nice people"" (in 463 reviews)', '""Great technical minds and people centered culture"" (in 264 reviews)', '""Good Salary and Perks"" (in 232 reviews)']","['""poor management: not trained to manage people."" (in 237 reviews)', '""All the good things about the company can go for a toss if you are reporting to a bad manager."" (in 161 reviews)', '""Poor leadership in the marketing function were i worked"" (in 85 reviews)', '""Frequent restructuring and layoffs."" (in 84 reviews)', '""Middle and upper management are focused too much on marketing requests at the expense of development needs."" (in 49 reviews)']"
43,Macy's,"['""Great people to work with who are both technically knowledgeable and eager to help one another."" (in 1454 reviews)', '""At my location I have some great coworkers that make it fun to come to work."" (in 910 reviews)', '""Flexible hours and I liked the department I worked in and the associates I worked with."" (in 906 reviews)', '""benefits are good (have to be in a certain position to be eligible tho.)"" (in 670 reviews)', '""flexible scheduling (get to choose which department and shifts to work) which was done through an online employee portal"" (in 669 reviews)']","['""the pay is low for the amount of work and the store is very messy."" (in 2078 reviews)', '""Management is poor and disorganized"" (in 1586 reviews)', '""There are not enough expectations set from senior level management and many managers do whatever they want."" (in 1162 reviews)', '""lots of restructuring and movement where there is no training and NO HR (how do you settle disputes or address uncomfortable situations without HR?)"" (in 487 reviews)', '""There is no work/life balance otherwise and it\'s not worth being there full time!"" (in 386 reviews)']"
44,Duke Energy,"['""Good benefits and focused on doing the right thing"" (in 224 reviews)', '""Good pay and the people at the sight where very friendly"" (in 159 reviews)', '""Great people to work with!"" (in 106 reviews)', '""Work / Life balance is good"" (in 65 reviews)', '""Salary is good and stable"" (in 40 reviews)']","['""Taken advantage of over worked poor management"" (in 67 reviews)', '""Upper management is completely out of touch with the day to day activities."" (in 25 reviews)', '""Managers have no clue and pass the buck down to subordinates"" (in 22 reviews)', '""Poor Leadership and Change Management"" (in 19 reviews)', '""Long hours and very shot deadlines"" (in 18 reviews)']"
45,United Airlines Holdings,,
46,Visa,"['""Good benefits although in recent years they have lowered the standard which for long time employees is difficult."" (in 581 reviews)', '""Good work life balance ( this depends on the position you are at and who you work for)"" (in 513 reviews)', '""Great enviroment and people to work with"" (in 331 reviews)', '""Good pay but not worth your diginity"" (in 187 reviews)', '""Good food and Salary"" (in 158 reviews)']","['""Poor management from C"" (in 200 reviews)', '""Managers have 0 accountability and way too many people have manager roles who shouldn\'t."" (in 161 reviews)', '""There was poor leadership and management across too many areas of IT the last two years."" (in 93 reviews)', '""Senior management operates from Foster city so they are not aware of how directors and managers are treating their subordinates."" (in 82 reviews)', '""No career progression"" (in 28 reviews)']"
47,Rite Aid,"['""I lucked out and got great people to work wth and a fun store with nice people"" (in 282 reviews)', '""Good Benefits and fair to work for"" (in 239 reviews)', '""Flexible hours also 0 out my register for a year straight and one 100 dollar gift card for pizza"" (in 213 reviews)', '""Coworkers are great and knowledgeable"" (in 213 reviews)', '""Work alone and flexible schedules"" (in 108 reviews)']","['""the pay is low compared to other similar companies no health care or bounces for part time employees"" (in 571 reviews)', '""At my particular store I experienced bad management and poor communication"" (in 286 reviews)', '""Horrible upper management."" (in 202 reviews)', '""Bad managers will mess up your shift."" (in 161 reviews)', '""No training provided it was a jump in and burn situation."" (in 76 reviews)']"
