,Unnamed: 0,name,headquaters_location_city,headquaters_location_state,headquaters_location_country,headquaters_regions,founder,website_link,hub,num_employees_enum,last_funding_type,rank_org_company,IPO_status,industries,stock_symbol,description,founded_date,operating_status,also_known_as,company_type,legal_name,contact_phone,number_of_exits
10,10,AbbVie,Chicago,Illinois,United States,"['Greater Chicago Area', 'Great Lakes', 'Midwestern US']",['S Nikhil Kumar'],http://www.abbvie.com,[],10000+ Employees,,"5,985",Public,"['Biotechnology', 'Health Care', 'Medical', 'Pharmaceutical']",NYSE:ABBV ,"AbbVie is a global, research-based biopharmaceutical company formed in 2013 following separation from Abbott. The company's mission is to use its expertise, dedicated people and unique approach to innovation to develop and market advanced therapies that address some of the world's most complex and serious diseases. In 2013, AbbVie employs approximately 21,000 people worldwide and markets medicines in more than 170 countries.",2013,,Active,For Profit,,,2.0
11,11,Abbott Laboratories,Illinois City,Illinois,United States,"['Great Lakes', 'Midwestern US']","['Vikram Vuppala', 'Wallace Calvin Abbott']",http://www.abbott.com/,['Abbott Alumni Founded Companies'],5001 to 10000 Employees,Post-IPO Debt,"31,869",Public,"['Biotechnology', 'Emergency Medicine', 'Genetics', 'Health Care', 'Health Diagnostics', 'Medical', 'Medical Device', 'Venture Capital']",NYSE:ABT ,"Abbott is engaged in pharmaceuticals and manufacturing healthcare products. It developed the first HIV blood-screening test. Its product portfolio includes Norvir, a treatment for HIV; Synthroid, a synthetic thyroid hormone; Depakote, an anticonvulsant drug; and Humira, a drug for rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and more.Its medical tests and diagnostic instrument systems are manufactured for usage in hospitals, laboratories, blood banks, and physician offices to diagnose and monitor diseases such as HIV, hepatitis, cancer, heart failure and metabolic disorders, and more.Abbott also operates its product manufacturing segment known as Abbott Point-of-Care. It manufactures diagnostic products for blood analysis. It also provides cardiac assays to the emergency room.It currently has 90,000 employees and operates in over 130 countries. Abbott was established in 1888 by Chicago physician Wallace Calvin Abbott. It is based in Abbott Park, North Chicago, Illinois.",1944,Active,Abbott Laboratories,For Profit,,,3.0
12,12,Academy Sports and Outdoors,Katy,Texas,United States,"['Greater Houston Area', 'Southern US']",['Max Gochman'],http://www.academy.com/,[],10000+ Employees,,"123,201",Public,['Sports'],NASDAQ:ASO ,"Academy Sports + Outdoors is a premier sports, outdoor and lifestyle retailer with a broad assortment of quality hunting, fishing, and camping equipment and gear along with sports and leisure products, footwear, apparel and much more. The Texas-based company operates over 185 stores throughout Alabama, Arkansas, Florida, Georgia, Indiana, Kansas, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee and Texas. The Academy Sports + Outdoors philosophy is to deliver an unparalleled shopping experience by providing convenience, offering a broad selection of quality products, delivering exceptional customer service and selling the right stuff at every day low prices.",1938,Active,For Profit,"May 31, 2011",,,
13,13,Activision Blizzard,Santa Monica,California,United States,"['Greater Los Angeles Area', 'West Coast', 'Western US']",['Bobby Kotick'],https://activisionblizzard.com/,['Activision Blizzard Alumni Founded Companies'],5001 to 10000 Employees,Post-IPO Equity,"4,571",Public,"['Console Games', 'Gaming', 'Media and Entertainment', 'PC Games', 'Video Games']",NASDAQ:ATVI ,"Activision Blizzard is the world’s most successful interactive entertainment company. The California-based business specializes in producing cutting-edge, best-selling games including Call of Duty, Skylanders, Overwatch, Candy Crush and more. Activision Blizzard integrates Activision, Blizzard Entertainment, Major League Gaming, Activision Blizzard Studios, King, as well independent studios.Activision Blizzard has been recognized as one of FORTUNE’ magazine's “100 Best Companies To Work For"".",,,,,,,
14,14,Adobe,San Jose,California,United States,"['San Francisco Bay Area', 'Silicon Valley', 'West Coast']",['Charles Geschke'],http://www.adobe.com,['Adobe Alumni Founded Companies'],10000+ Employees,Venture - Series Unknown,"1,951",Public,"['Consulting', 'Enterprise Software', 'Image Recognition', 'Photo Editing', 'SaaS']",NASDAQ:ADBE ,"Adobe is a software company that provides its users with digital marketing and media solutions. Its tools and services allow its customers to create ground-breaking digital content, deploy it across media and devices, measure and optimize it over time, and achieve greater business success. The company helps its customers make, manage, measure, and monetize their content across every channel and screen. Its main products include Illustrator, Photoshop, Flash, Freehand, InDesign, Acrobat, Dreamweaver, and many others. Adobe is the global leader in digital marketing and digital media solutions. Their tools and services allow their customers to create groundbreaking digital content, deploy it across media and devices, measure and optimize it over time, and achieve greater business success. Adobe helps their customers make, manage, measure, and monetize their content across every channel and screen. Adobe was founded on January 1, 1982 in California, United States.",1982,,Active,For Profit,,,7.0
15,15,Advance Auto Parts,Roanoke,Virginia,United States,"['East Coast', 'Southern US']",['Arthur Taubman'],https://shop.advanceautoparts.com,[],10000+ Employees,,"277,922",Public,"['Automotive', 'Retail']",NYSE:AAP ,"Headquartered in Roanoke, Va., Advance Auto Parts, Inc., a leading automotive aftermarket retailer of parts, accessories, batteries, and maintenance items, in the United States, serves both the do-it-yourself and professional installer markets. The company operates over 3,900 stores in 39 states, Puerto Rico, and the Virgin Islands and employs over 55,000 of the best Team Members in the business.Advance Auto Parts works hard to create an environment of honesty, integrity, mutual trust and dedication. Since our founding by Arthur Taubman in 1932, the values haven’t changed.",1932,,Active,For Profit,,,
16,16,Advanced Micro Devices,Santa Clara,California,United States,"['San Francisco Bay Area', 'Silicon Valley', 'West Coast']",['Jerry Sanders'],http://www.amd.com,['AMD Alumni Founded Companies'],10000+ Employees,,"11,399",Public,"['Cloud Computing', 'Embedded Systems', 'GPU', 'Hardware', 'Semiconductor']",NASDAQ:AMD ,"Advanced Micro Devices (AMD) is a semiconductor company that designs and develops graphics, processors, and media solutions for both commercial and consumer markets. The company’s products portfolio includes desktop graphics, laptop graphics, professional graphics, desktop processors, laptop and tablet processors, server processors, embedded processors, chipsets, and solid state drives (SSD). Its solutions portfolio includes APU-based systems for tablets, laptops, and desktops; cloud, virtualization, and HPC server solutions; professional graphics solutions; embedded solutions; software solutions; and pro solutions.AMD focuses on innovations related to gaming technologies, surround computing, Pro graphics technologies, enhanced media, business technologies, server technologies, embedded technologies, security technologies, and mobility technologies.AMD Opteron, SeaMicro Freedom, AMD Athlon, AMD Sempron, AMD Turion, AMD Phenom, AMD FX APU, AMD Geode, AMD R-Series, G-Series, AMD Radeon, and AMD FirePro are some of the brands offered by AMD. The company provides x86 microprocessors for desktop PCs under the AMD A-Series, AMD E-Series, AMD FX CPU, AMD Athlon CPU and APU, and AMD Sempron APU and CPU brands.AMD was founded in 1969 by Jerry Sanders and is based in California, United States with presence in Canada, France, Spain, the United Kingdom, China, and more.",,,,,,,2.0
17,17,Aflac,Columbus,Georgia,United States,"['East Coast', 'Southern US']",[],http://www.aflacventures.com,['Aflac Global Ventures Portfolio Companies'],1 to 50 Employees,,,,"['Finance', 'Financial Services', 'InsurTech']",,,Dec 2016,,Active,"Aflac Innovation Partners, アフラック・コーポレート・ベンチャーズ, Aflac Corporate Ventures",,,8.0
18,18,Air Products & Chemicals,Allentown,Pennsylvania,United States,"['Great Lakes', 'Northeastern US']",['Leonard P. Pool'],http://www.airproducts.com/,[],10000+ Employees,,"128,236",Public,"['Chemical', 'Chemical Engineering', 'Energy', 'Industrial', 'Medical Device', 'Semiconductor', 'Transportation']",NYSE:APD ,"Air Products touches the lives of consumers around the globe in positive ways every day. With 18,900 employees and operations in more than 40 countries, they serve customers across a wide range of industries from food and beverage, health and personal care to energy, transportation and semiconductors. They supply a unique portfolio of atmospheric gases, process and specialty gases, performance materials, equipment and services.",1940,,Active,For Profit,,,1.0
19,19,Albertsons,Boise,Idaho,United States,['Western US'],['Joe Albertson'],http://www.albertsons.com,[],10000+ Employees,,"26,064",Private,"['Fitness', 'Food and Beverage', 'Grocery', 'Health Care', 'Retail', 'Supply Chain Management']",,"Albertsons's mission is to create a shopping experience that pleases their customers; a workplace that creates opportunities and a great working environment for their associates; and a business that achieves financial success.Albertsons Companies is an American grocery company founded and based in Boise, Idaho. It is owned and operated by Cerberus Capital Management.With 2,200 stores and more than 250,000 employees, the company is the second largest supermarket chain in North America after Kroger, which has 2,424 stores. Prior to its January 2015 merger with Safeway Inc. for $9.2 billion, it had 1,075 supermarkets located in 29 U.S. states under 12 different banners. Its predecessor company, Albertsons, Inc., was sold to Albertsons LLC (a Cerberus Capital Management-led consortium), CVS Pharmacy, and SuperValu Inc. in 2006. CVS acquired the freestanding drugstores while the Cerberus-led consortium (Albertsons LLC) and Supervalu (New Albertsons, Inc.) divided the supermarket divisions among themselves.After selling the majority of its stores to various buyers, in January 2013, Albertsons LLC, acquired SuperValu's remaining Albertsons stores, as well as its ACME, Jewel-Osco, Lucky, Shaw's and Star Market brands, in exchange for $100 million in cash and $3.2 billion in SuperValu debt. The sale was completed by March 2013. The company's corporate name was Albertson's until 2002 when the apostrophe was removed.",,,,,,,
20,20,Alcoa,Pittsburgh,Pennsylvania,United States,"['Great Lakes', 'Northeastern US']",['Andrew Mellon'],http://alcoa.com,[],10000+ Employees,Grant,"2,676",Public,"['Automotive', 'Innovation Management', 'Manufacturing']",NYSE:AA ,"A global leader in lightweight metals engineering and manufacturing, Alcoa innovates multi-material solutions that advance our world.Our technologies enhance transportation, from automotive and commercial transport to air and space travel, and improve industrial and consumer electronics products.We enable smart buildings, sustainable food and beverage packaging, high-performance defense vehicles across air, land and sea, deeper oil and gas drilling and more efficient power generation.We pioneered the aluminum industry over 125 years ago, and today, our 60,000 people in 30 countries deliver value-add products made of titanium, nickel and aluminum, and produce best-in-class bauxite, alumina and primary aluminum products.","Oct 1, 1888",,Active,For Profit,,,1.0
21,21,Alleghany,New York,New York,United States,"['Greater New York Area', 'East Coast', 'Northeastern US']",[],http://www.alleghany.com,[],51 to 200 Employees,,"132,957",Public,"['Finance', 'Financial Exchanges', 'Financial Services', 'Property Insurance']",NYSE:Y ,"Alleghany is a property-and-casualty reinsurance company that executes certain private capital investments. It operates through two segments: reinsurance and insurance. The reinsurance segment offers reinsurance services for a range of property insurance products, such as fire, allied lines, auto physical damage, and homeowners multiple peril lines; and casualty and other products, including liability, medical malpractice, ocean marine and aviation, auto liability, accident and health, surety, and credit. This segment provides property and casualty reinsurance to insurers and reinsurers through brokers and on a direct basis to ceding companies. The insurance segment underwrites specialty insurance coverages in the property, umbrella/excess liability, general liability, directors and officers liability, and professional liability lines of insurance; surety products, such as commercial surety bonds and contract surety bonds; and workers’ compensation insurance. This segment offers its products through insurance brokers, and independent and general insurance agents. The company also manufactures and remanufactures/retrofits precision machine tools and supplies replacement parts; owns and manages properties comprising improved and unimproved commercial land, and residential lots in Sacramento, California; and manages, sources, executes and monitors private equity investments.As of December 31, 2012, it owned approximately 320 acres of property in various land use categories ranging from multi-family residential to commercial. Alleghany Corporation was founded in 1929 and is based in New York, New York.",,,,,,,
22,22,Allstate,Northbrook,Illinois,United States,"['Greater Chicago Area', 'Great Lakes', 'Midwestern US']",[],http://www.allstate.com,['Allstate Alumni Founded Companies'],10000+ Employees,Convertible Note,"47,733",Public,"['Banking', 'Finance', 'Insurance', 'Venture Capital']",NYSE:ALL ,"Allstate offers a protection product through multiple brands including auto, home, life, and other insurance.Allstate is one of the largest U.S. property-casualty insurers. Personal auto represents the largest percentage of revenue, but the company offers homeowners insurance and other insurance products. Life insurance contributes about 10% of revenue. Allstate products are sold in North America primarily by about 10,000 company agencies.Founded in 1931, Allstate is based in Northbrook, Illinois, United States.",1931,Active,Allstate Insurance Company,For Profit,,,
23,23,Ally Financial,Detroit,Michigan,United States,"['Greater Detroit Area', 'Great Lakes', 'Midwestern US']","['Paul Brindley', 'Richard Hagen, Jr.', 'William Crapo Durant']",http://www.ally.com/,[],5001 to 10000 Employees,,"55,808",Public,"['Automotive', 'Finance', 'Financial Services']",NYSE:ALLY ,"Ally Financial Inc. is a automotive financial services company powered by a top direct banking franchise. Ally's automotive services business offers a full suite of financing products and services, including new and used vehicle inventory and consumer financing, leasing, inventory insurance, commercial loans and vehicle remarketing services. Ally Bank, the company's direct banking subsidiary, offers an array of deposit products, including certificates of deposit, savings accounts, money market accounts, IRA deposit products and interest checking. Ally's Commercial Finance unit provides financing to middle-market companies across a broad range of industries.",1919,Active,Ally CF,For Profit,,,2.0
24,24,Alphabet,Mountain View,California,United States,"['San Francisco Bay Area', 'Silicon Valley', 'West Coast']","['Larry Page', 'Sergey Brin']",https://abc.xyz,['Alphabet Alumni Founded Companies'],501 to 1000 Employees,,"7,244",Public,"['Blogging Platforms', 'Information Technology', 'Search Engine', 'Software', 'Video Streaming']",NASDAQ:GOOGL ,"Alphabet is a holding company that provides projects with resources, freedom, and focus to make their ideas happen. Alphabet is the holding company for Google and several Google entities, including Google X, Google Ventures, Google Capital, Calico, and its Life Sciences efforts. The company's CEO, Larry Page announced the operational restructuring effort for Alphabet Inc. to replace Google Inc. as the official publicly-traded entity. He announced that all shares of Google would automatically convert into the same number of shares of Alphabet, with all of the same rights. The two classes of shares will continue to trade on Nasdaq as GOOGL and GOOG.It was established in Mountain View, California in 2015 by Larry Page and Sergey Brin.","Oct 2, 2015",,Active,For Profit,,,1.0
25,25,Altice USA,Bethpage,New York,United States,"['Greater New York Area', 'East Coast', 'Northeastern US']",['Patrick Drahi'],http://www.alticeusa.com,[],10000+ Employees,Private Equity,"116,492",Public,['Communications Infrastructure'],NYSE:ATUS ,"Altice USA is one of the largest broadband communications and video services providers in the United States. It is a subsidiary of Altice NV (Euronext: ATC, ATCB), a convergent global leader in telecom, content, media, entertainment and advertising founded in 2001 by entrepreneur Patrick Drahi.Altice USA delivers innovative, customer-centric products and solutions that connect and unlock the limitless potential of its more than 4.9 million residential and business customers across 21 states. We deliver broadband, pay television, telephony services, Wi-Fi hotspot access, proprietary content and advertising services, bringing everything to our customers’ fingertips anytime, anywhere. To meet our customers’ needs, we also provide international news, and hyper-local news created specifically for the communities we serve in the New York area.","Sep 14, 2015",,Active,For Profit,,,1.0
26,26,AltriaGroup,Richmond,Virginia,United States,"['East Coast', 'Southern US']",[],http://www.altria.com/,[],5001 to 10000 Employees,,"62,571",Public,"['Manufacturing', 'Tobacco', 'Wine And Spirits']",NYSE:MO ,"For more than 180 years, Altria’s companies have built some of the best-known brands in the world – Marlboro, Copenhagen, Skoal and Black &​ Mild – that today lead their respective categories.​​​ ​Altria Group owns three premier tobacco companies in the United States.​ Philip Morris USA, U.S. Smokeless Tobacco Company and John Middleton have leading positions in the cigarette, smokeless tobacco and large machine-made cigar categories. Altria also has a substantial position in the alcohol business with Ste. Michelle Wine Estates and an economic interest in SABMiller plc​.",1985,Active,Philip Morris Companies. Inc.,For Profit,,,2.0
27,27,Amazon,Seattle,Washington,United States,"['Greater Seattle Area', 'West Coast', 'Western US']",['Jeff Bezos'],http://amazon.com,"['Amazon Alumni Founded Companies', 'Amazon Portfolio Companies']",10000+ Employees,Post-IPO Equity,784,Public,"['Crowdsourcing', 'Delivery', 'E-Commerce', 'Retail']",NASDAQ:AMZN ,"Amazon is an international e-commerce website for consumers, sellers, and content creators. It offers users merchandise and content purchased for resale from vendors and those offered by third-party sellers.Operating in North American and International markets, Amazon provides its services through websites such as amazon.com and amazon.ca. It also enables authors, musicians, filmmakers, app developers, and others to publish and sell content via its branded websites.Amazon also provides Kindle Direct Publishing, an online platform that allows independent authors and publishers to make their books available in the Kindle Store. In addition, it provides co-branded credit card agreements and advertising services, serves developers and enterprises through Amazon Web Services, and manufactures and sells electronic devices.It offers Amazon Prime which is an annual membership program. It provides free shipping, streaming, and access to books to borrow and read on a Kindle device.The company was founded in 1994 and is headquartered in Seattle, Washington.","Jul 5, 1994",Active,"Amazon.com, Amazon.com, Inc.",For Profit,,,29.0
28,28,Ameren,St Louis,Missouri,United States,['Midwestern US'],['Warner L. Baxter'],http://ameren.com,[],5001 to 10000 Employees,,"174,147",Public,"['Consumer Electronics', 'Electrical Distribution', 'Energy', 'Oil and Gas', 'Solar']",NYSE:AEE ,"Ameren Corporation (Ameren) is a utility holding company. The Company’s principal subsidiaries are Union Electric Company (Ameren Missouri) and Ameren Illinois Company (Ameren Illinois). The Company's segments include Ameren Missouri and Ameren Illinois. Ameren Missouri operates a rate-regulated electric generation, transmission and distribution business, and a rate-regulated natural gas transmission and distribution business in Missouri. Ameren Illinois operates a rate-regulated electric and natural gas transmission and distribution business in Illinois. AER consists of non-rate-regulated operations, including Ameren Energy Generating Company (Genco), AmerenEnergy Resources Generating Company (AERG) and Ameren Energy Marketing Company (Marketing Company). In December 2013, the Company announced that it has completed the divestiture of its merchant generation business, formerly known as Ameren Energy Resources Company, LLC (AER).",1881,,Active,For Profit,,,
29,29,American Airlines Group,Fort Worth,Texas,United States,"['Dallas/Fort Worth Metroplex', 'Southern US']",[],http://aa.com,['American Airlines Alumni Founded Companies'],10000+ Employees,Post-IPO Equity,"24,269",Public,"['Automotive', 'Transportation', 'Travel']",NASDAQ:AAL ,"American Airlines focuses on providing an exceptional travel experience across the globe, serving more than 260 airports in more than 50 countries and territories. American’s fleet of nearly 900 aircraft fly more than 3,500 daily flights worldwide from hubs in Chicago, Dallas/Fort Worth, Los Angeles, Miami and New York.","Jan 1, 1930",,Active,For Profit,,,3.0
30,30,American Electric Power,Columbus,Ohio,United States,"['Great Lakes', 'Midwestern US']",[],http://aep.com,[],10000+ Employees,,"94,849",Public,"['Clean Energy', 'Energy', 'Financial Services']",NYSE:AEP ,"American Electric Power is an investment firm that invests in companies that focuses on clean energy and electricity distribution. American Electric Power has a strong tradition of leadership, service, and contributions to the communities. Its mission is to bring comfort to our customers, supporting business and commerce, and building strong communities.",1906,Active,AEP,For Profit,,,2.0
31,31,American Express,New York,New York,United States,"['Greater New York Area', 'East Coast', 'Northeastern US']","['Henry Wells', 'Irene Tserkovny', 'John Butterfield', 'William Fargo']",http://www.americanexpress.com,['American Express Alumni Founded Companies'],10000+ Employees,,"15,652",Public,"['Finance', 'Financial Services', 'FinTech', 'Payments']",BCBA:AXP ,"American Express Company (American Express) is a global service company. The Company's range of products and services includes Charge and credit card products, Expense management products and services, Consumer and business travel services, Stored value products, such as travelers cheques and other prepaid products, Network services, merchant acquisition and processing, servicing and settlement, and point-of-sale, marketing and information products and services for merchants, and fee services, including market and trend analyses and related consulting services, fraud prevention services, and the design of customized customer loyalty and rewards programs. It operates in four segments: U.S. Card Services, International Card Services, Global Commercial Services (GCS) and Global Network & Merchant Services (GNMS). American Express and its principal operating subsidiary, American Express Travel Related Services Company, Inc. (TRS), are bank holding companies.American Express, also known as AmEx, is an American multinational financial services corporation headquartered in Three World Financial Center, Manhattan, New York City, New York, United States. Founded in 1850, it is one of the 30 components of the Dow Jones Industrial Average. The company is best known for its credit card, charge card, and traveler's cheque businesses. Amex cards account for approximately 24% of the total dollar volume of credit card transactions in the US.BusinessWeek and Interbrand ranked American Express as the 22nd most valuable brand in the world, estimating the brand to be worth US $14.97 billion. Fortune listed Amex as one of the top 20 Most Admired Companies in the World.American Express extended its reach nationwide by arranging affiliations with other express companies (including Wells Fargo – the replacement for the two former companies that merged to form American Express), railroads, and steamship companies.",1850,Active,"amex, American Express Company",For Profit,,,16.0
32,32,American Family Insurance Group,Madison,Wisconsin,United States,"['Great Lakes', 'Midwestern US']",['Herman Wittwer'],http://www.amfam.com,[],5001 to 10000 Employees,,"126,671",Private,"['Financial Services', 'Insurance', 'Personal Finance']",,"American Family Insurance has built its reputation on sound principles. We strive to provide you industry-leading service, exceptional claims experience and products that build long-term relationships. This is accomplished by treating policyholders fairly in a helpful and caring way and making it easy and convenient to work with us. We know our customers like family. American Family Insurance thrives by conducting its business in accordance with the highest ethical standards and the law at all times. Integrity is part of our culture and always has been. The reputation we enjoy and trust-based relationships we have built with our customers are determined by the example set by management and the character and good judgment exercised at all levels of our organization. It’s a way of doing business that our customers have come to expect from us and a standard that we continue to live up to.","Oct 3, 1972",,Active,For Profit,,,6.0
