,Unnamed: 0,name,Pros,Cons
11,11,Cigna,Great benefits and discounts. (in 355 reviews)<br/>Work from home was flexible and convenient. (in 296 reviews)<br/>The pay is good and depending on the group or area you work in they allow for work at home opportunities part or full time. (in 266 reviews)<br/>A company that truly understands an employee with a good work/life balance is a happy productive employee. (in 241 reviews)<br/>great people and flexible (in 219 reviews),Poor management and that’s the truth (in 216 reviews)<br/>All questions are answered as if it is a \'need to know\' basis and claim managers don\'t need to know. (in 94 reviews)<br/>No training and coaching. (in 88 reviews)<br/>Middle management does not exhibit the same ethics and integrity as senior leadership. (in 60 reviews)<br/>Alot of favoritism. (in 45 reviews)
13,13,Microsoft,They provide great benefits and you get a lot of exposure if interested in full time corporate role (in 4395 reviews)<br/>Some really great people working in the Inside sales teams and the building is fantastic. (in 3204 reviews)<br/>Work/Life balance is good and entirely up to you make it what you want it to be (in 2945 reviews)<br/>Microsoft has Great Culture and Support! (in 1739 reviews)<br/>A lot of the work is driven by individual performance within a team environment and the pay is good. (in 1227 reviews),Bad managers abound and there is not much remedy for that except for leaving the job. (in 1055 reviews)<br/>life balance in hardware due to frequent unplanned work travel and evening calls; bloated meetings; some poor management (in 839 reviews)<br/>Long hours you have to wait till the last customer leave it’s energy consuming some of the customers are unrespectful (in 329 reviews)<br/>Too much politics and exchange of favors rather then meritocracy seriously affect the possibilities to grow and develop inside the company. (in 245 reviews)<br/>Bad middle management (in 211 reviews)
14,14,Cardinal Health,benefits are good and professionalism of employees in the field are great to work with (in 412 reviews)<br/>People are great and friendly. (in 207 reviews)<br/>The best thing about this job is the pay is good and they allow you to get OT. (in 152 reviews)<br/>Good work life balance in general (in 121 reviews)<br/>Great culture and very inclusive (in 113 reviews),Management was poor and not very structured (in 150 reviews)<br/>Hope for a good manager (in 62 reviews)<br/>there is no competent senior leadership and many of the staff have left because of this. (in 59 reviews)<br/>Long hours and evening work is common. (in 55 reviews)<br/>The training was poor and I was often left with little to do as the supervisor rarely came in at night. (in 52 reviews)
15,15,Chevron,Great benefits and real (in 456 reviews)<br/>work life balance is great but challenging (in 338 reviews)<br/>The people are great and it is evident that they really care for their employees and workers. (in 313 reviews)<br/>Good pay and great to have a 9 day fortnight (in 296 reviews)<br/>Great culture and working environmenr (in 168 reviews),Management is poor at passing information to employees; management accuses employees of theft and fighting with little to no evidence. (in 112 reviews)<br/>Volatile industry with frequent layoffs (in 68 reviews)<br/>Too many managers (in 61 reviews)<br/>Long hours and very hierarchal (like all big companies) (in 44 reviews)<br/>Operations Managers and Supervisors have no morals or leadership experience/training. (in 25 reviews)
16,16,Home Depot,good benefits for both full time and part time; benefits for domestic partners; close (in 2878 reviews)<br/>The people you work with are great and very friendly willing to help each other. (in 2271 reviews)<br/>All my coworkers are great and the head cashiers always push me to do my best every day. (in 1100 reviews)<br/>Its a great retail job to start at if you are inexperienced or currently in school due to flexible hours. (in 1090 reviews)<br/>Scheduling is flexible and they pay out your vacation time to you when you leave. (in 622 reviews),Management is poor and very unprofessional (in 2422 reviews)<br/>they pay is low and they are do not care about their employees childcare hours when scheduling (in 2384 reviews)<br/>Micro Management with over usage of matrix that managers don\'t know how to interrupt correctly. (in 1052 reviews)<br/>Too much favoritism by managers for only certain employees (in 512 reviews)<br/>You get a small raise at 1 year and it doesn\'t add up to much. (in 357 reviews)
17,17,Walgreens Boots Alliance,Pay is good and the hours (in 91 reviews)<br/>Great people to work with nice and understanding (in 76 reviews)<br/>Good benefits and helpful if need advice (in 58 reviews)<br/>Staff are friendly and get along with everyone (in 36 reviews)<br/>nice colleagues to work with (in 29 reviews),Management is poor (in 65 reviews)<br/>A bad manager may be bad enough to make you change careers (in 52 reviews)<br/>No work life balance far too many unpaid hours worked (in 27 reviews)<br/>Long hours of standing no manned tills (in 27 reviews)<br/>No training / onboarding of new employee (in 25 reviews)
18,18,Marathon Petroleum,There are great benefits and everyone for the company is very genuine. (in 176 reviews)<br/>Good Work Experience & Pay (in 169 reviews)<br/>Great people and tons of opportunities (in 91 reviews)<br/>Good culture<br/>very welcooming people (in 35 reviews)<br/>1) Good work life balance (in 31 reviews),Poor management (in 42 reviews)<br/>Poor leadership. (in 23 reviews)<br/>Long hours and overworked occasionally (in 19 reviews)<br/>6 years experience)<br/>racist employees are tolerated and encouraged by upper management (in 18 reviews)<br/>Lack of work remote flexibility (prior to the pandemic); lack of diversity across the organization (in 16 reviews)
19,19,Elevance Health,Great benefits and ok PTO (in 518 reviews)<br/>Work from home is great. (in 326 reviews)<br/>The pay is good and in light of covid management has walked back forcing all back in the office. (in 265 reviews)<br/>1. Great people and team. (in 156 reviews)<br/>Work life balance is good (in 127 reviews),Poor management and they are reluctant to hear any positive suggestions. (in 164 reviews)<br/>I had three good managers and one lane brained idiot. (in 106 reviews)<br/>No training but expect you to know everything (in 77 reviews)<br/>Indecisive and poor leadership (in 77 reviews)<br/>expendable and not valued There are constant layoffs so people are always wondering when their time will come to be let go. (in 58 reviews)
20,20,Kroger,Good benefits when employed there some supervision you were able to talk to about issues and the scheduling fit around my needs (in 1083 reviews)<br/>the people are great they come and go but they are from all different walks of life (in 958 reviews)<br/>Kroger has flexible hours for students that are looking for jobs but may have other things on their plate. (in 725 reviews)<br/>Some of the patients and coworkers were great people and a joy to interact with. (in 623 reviews)<br/>Flexible schedule (assuming you put in a request at least a week in advance). (in 416 reviews),Pay is low and not very competitive compared to other locations depending on where you live. (in 1635 reviews)<br/>Poor management and very rude (in 1487 reviews)<br/>bad managers and unwilling to help (in 553 reviews)<br/>No work life balance unless you delegate your responsibilities to someone who can get it done. (in 358 reviews)<br/>upper management not care (in 217 reviews)
21,21,Ford Motor,flexible and good work life balance (in 744 reviews)<br/>Pay is good (not great) but you get a lot of side benefits. (in 518 reviews)<br/>Good benefits and 401k (in 497 reviews)<br/>Great people and lots of resources to learn about automotive operations (in 475 reviews)<br/>Good Culture and Values (in 234 reviews),Poor management and hard to move up (in 236 reviews)<br/>long hours worked and the physical and mental strain on the human body is well stretched. (in 207 reviews)<br/>Bad managers aren\'t punished when they purposely break the contract between Ford and the union. (in 102 reviews)<br/>Disconnect between Upper Management and actual employees (in 56 reviews)<br/>Budget pressures and long hours (in 55 reviews)
22,22,Verizon Communications,If you can get into the corporate groove and leverage the benefits it\'s a great place to start. (in 5687 reviews)<br/>Initially the pay is good before you realize there is a ceiling and it is not competitive. (in 2921 reviews)<br/>Sole great people in the company who will look out for you and your best interests. (in 966 reviews)<br/>The salary was good and increased each year based off of the company\'s & individual performance. (in 801 reviews)<br/>great training offered by company and training managers from the basics to the complex with access to resources (in 628 reviews),No work life balance due to it being retail and it also having aggressive sales target. (in 1393 reviews)<br/>Some management can be poor and it\'s hard to get concerns addressed to higher ups on management. (in 1263 reviews)<br/>Managers do not really do anything except tell you to sell more and more each day. (in 578 reviews)<br/>Very Unstable and constant layoffs (in 531 reviews)<br/>Long hours and promotability based solely on sales numbers versus focusing on every employee\'s individual strengths... (in 511 reviews)
23,23,JPMorgan Chase,Great benefits and the job can be awesome according to the department and who you work for. (in 1890 reviews)<br/>There are many great people who will go out of their way to help you out. (in 895 reviews)<br/>They hourly pay was good and they also offer overtime to all employees which is a great way to make extra money. (in 813 reviews)<br/>Tech organizations tend to be a little bit relaxing and good work/life balance. (in 699 reviews)<br/>Great culture and very professional (in 499 reviews),Poor management also very strict dual control makes you a little paranoid after a while and finally lots of extra work (in 581 reviews)<br/>Hours were long and I felt that compensation at a junior level was not competitive given hours worked. (in 441 reviews)<br/>Really bad managers that were performance obsessed and would blame you in anyway possible (in 422 reviews)<br/>upper management is not great (in 147 reviews)<br/>Middle to Senior Management were unprofessional and make poor decisions regardless of the best information they were given. (in 92 reviews)
24,24,General Motors,Benefits are good and generous (in 861 reviews)<br/>Pay is good but not worth the amount of work you have to put in. (in 601 reviews)<br/>good work life balance and remote (in 471 reviews)<br/>The people you work with are great and have helped me grow so much since I started here. (in 426 reviews)<br/>They pay a good salary and have one of the best total overall compensation packages anywhere. (in 201 reviews),Poor career management and management of the business (in 275 reviews)<br/>3 years and can get put in a group with a new or bad manager. (in 149 reviews)<br/>The hours are long and there can be alot of travel if you are managing a global program. (in 119 reviews)<br/>Middle and upper management are not supportive or networking or creating a work (in 80 reviews)<br/>Cronyism and Nepotism is widely practice among senior leadership and senior manager (mainly expat) and need to address immediately. (in 79 reviews)
25,25,Centene,The benefits are good and the Fortune 100 experience looks good on your resume. (in 465 reviews)<br/>Pay is good and higher than other companies as far as I can tell. (in 311 reviews)<br/>Work from home and flexible (in 141 reviews)<br/>Some great people at this company that is bogged down by silos and exec level egos. (in 120 reviews)<br/>Salary is good but not fornyou mental health (in 101 reviews),Poor management/ micromanage form supervisors/unnecessary meetings (in 217 reviews)<br/>No work life balance since forced to work overtime during the week and on the weekend....for months! (in 135 reviews)<br/>It started with the poor leadership and it continues. (in 103 reviews)<br/>No training finger pointing to blame (in 89 reviews)<br/>the managers have no care to the employees or contractors and bringing this up to directors falls on deaf ears. (in 86 reviews)
26,26,Meta Platforms,The company has great benefits and really makes sure you and your family have everything you need. (in 1075 reviews)<br/>Great people: my team in particular were some the smartest and most engaging people I\'ve worked with. (in 1042 reviews)<br/>Great Culture and really to connect with our peers from all levels (in 670 reviews)<br/>I think that some of the pros are the that it has a good pay and is in a nice place like california (in 415 reviews)<br/>There were lots of benefits: 1. Relocation package 2. Free housing 3. Free food at the office 4. (in 366 reviews),super competitive and bad work life balance (in 546 reviews)<br/>not sure two friends of mind resign within a year because of bad manager and support. (in 208 reviews)<br/>Management is poor in comms and career growth can be a little murky (in 150 reviews)<br/>many employers are very invested in their work and spend long hours; as a result it can be easy to let work/life balance slip (in 117 reviews)<br/>life balance can be challenging. (in 61 reviews)
27,27,Comcast,They have great benefits and they give you a lot of room for schedule flexibility. (in 2614 reviews)<br/>Lots of flexibility and good pay if you work hard and close a lot of sales (in 864 reviews)<br/>There are A LOT of great people working very hard behind the scenes to make things better for the customer and for their fellow employees. (in 539 reviews)<br/>Good work life balance and learning (in 298 reviews)<br/>great products and great benefits (in 257 reviews),Poor management and its all about who you know not what you know. (in 558 reviews)<br/>There are many levels of middle management and it is very hard to find a good manager. (in 214 reviews)<br/>always worried about union action from frontline so supervisors have to bend over backwards to keep agents happy and non (in 172 reviews)<br/>The company does not look out for the support staff but focuses on middle and upper management. (in 169 reviews)<br/>Senior leadership seems to be Disengaged from what is really going on with the Frontline employees. (in 146 reviews)
28,28,Phillips 66,Good benefits with lunch and gym provisions. (in 128 reviews)<br/>good pay and housing stipend (in 99 reviews)<br/>Great people and flow of the workplace (in 64 reviews)<br/>Great culture and engaging work. (in 39 reviews)<br/>Work life balance for the most part is good (in 38 reviews),Poor Management<br/>working by yourself sometimes (in 30 reviews)<br/>Current upper management has turned a blind eye towards several ethical violations and increasing attrition (including many key resources) is seen as collateral damage. (in 15 reviews)<br/>There isn\'t much room to work from home remotely. (in 14 reviews)<br/>sometimes you get bad managers (in 13 reviews)<br/>bullied by supervisor to the point i had to resign (in 9 reviews)
29,29,Valero Energy,Great benefits for full time employees (in 97 reviews)<br/>Good pay and they frequently offer jobs to their Co (in 71 reviews)<br/>Most people were great to work with and wanted to help you succeed (in 44 reviews)<br/>Valero truly values their employees and have a great culture based around safety and community. (in 20 reviews)<br/>Competitive salary<br/>and good bonus potential. (in 17 reviews),Very bad customer service at the store management is poor (in 35 reviews)<br/>Long hours but they pay off (in 20 reviews)<br/>No work life balance (in 17 reviews)<br/>Terrible manager. (in 11 reviews)<br/>Little room for advancement with many positions in ethanol segment<br/>upper management tends to be a little micro managy at times (in 6 reviews)
30,30,Dell Technologies,Work life balancing is good at EMC and not sure how it will turn into after acquisition. (in 3049 reviews)<br/>Good and benefits pay when you can land in the right organization that is not about to get the ax and sent off (in 1560 reviews)<br/>3: Most of the people on the peer level are great people and good to work with (in 1296 reviews)<br/>Great culture and very inclusive (in 994 reviews)<br/>Pay is good and on par with industry (wish it was higher than industry) (in 753 reviews),Some poor management and bad (in 766 reviews)<br/>Salary is low and they dont give employees their bonus which is part of employees package. (in 673 reviews)<br/>Many good managers and reps have left over the last few years and the people that are replacing them are not up to the task. (in 452 reviews)<br/>Frequent layoffs and people puts their names knowingly into the layoff lists to get money. (in 229 reviews)<br/>long hours at times and very fast paced (in 168 reviews)
31,31,Target,for topeka ks the pay here is good and the schedules are good to work for with a family. (in 6532 reviews)<br/>A lot of the other team members are really great people and fun to work with. (in 3434 reviews)<br/>Benefits are good; you can elect benefits for self and family if you average 32 hours per week; part (in 2721 reviews)<br/>I stayed because coworkers were lovely and they were great about working around my classes. (in 2373 reviews)<br/>The day to day operations and great and most of the team members and great to work with. (in 1729 reviews),You also have to deal with people who don\'t pull their own weight and poor management. (in 4406 reviews)<br/>Long hours and not always sympathetic about needing to leave work at a reasonable time.. (in 2370 reviews)<br/>Also plan on working constantly because everything is a priority and there\'s no work life balance. (in 1520 reviews)<br/>Rude managers and team leader that fight over employees like kids fighting over toys in the sandbox. (in 1520 reviews)<br/>There is no training handbook all you do is shadow and hope you figure it out. (in 727 reviews)
32,32,Fannie Mae,Great benefits and flexibility/job (in 343 reviews)<br/>Good work/life balance if you know how to manage up and manage your workload (in 210 reviews)<br/>Great people and really strives for change for modernity purposes (in 155 reviews)<br/>Good pay..nice people to work with...work/life balance is good (in 125 reviews)<br/>Good Salary and some bonus. (in 81 reviews),There is the sense by many Fannie Mae\'ers that there is no life after Fannie Mae so most put up with inefficiencies and poor management. (in 93 reviews)<br/>Most Managers don\'t have time for their employees because they\'re overworked (in 73 reviews)<br/>A toxic culture where a lack of effort and complacency is the norm. (in 56 reviews)<br/>Frequent layoffs come in dribs and drabs has made an anxious workforce. (in 31 reviews)<br/>A lot of mediocre to bad leadership in middle management and below. (in 31 reviews)
33,33,UPS,The benefits are great but I don\'t know if they are worth the body soreness and stress (in 3724 reviews)<br/>It was pretty good pay and the hours were ok. it wasnt that bad overall. (in 2909 reviews)<br/>The people are great but every job has those few people who get on your nerves. (in 963 reviews)<br/>You get paid good money and it can also be a stepping stone to a lifelong career (in 400 reviews)<br/>the tuition reimbursement is great and the health care is excellent (in 318 reviews),Poor management... ran the company like it was the military screaming and yelling at employees. (in 1433 reviews)<br/>Long hours and sometimes can\'t take a break because it\'s a lot of work (in 1204 reviews)<br/>no work life balance: many days you are working extremely long hours from 8:30am to 5 (in 483 reviews)<br/>Bad supervisors that are lazy and don\'t want to help you out. (in 473 reviews)<br/>Upper management is terrible (in 402 reviews)
34,34,Lowe's,Good pay (in 7 reviews)<br/>Coworkers are great and they do their best to provide great customer service to every customer. (in 5 reviews)<br/>Flexible hours (in 5 reviews)<br/>Good benefits<br/>pay<br/>and nice boss (in 5 reviews)<br/>Good people to work with<br/>a sense of fulfillment<br/>decent hours offered<br/>bonuses offered based on performance of whole store (in 4 reviews),Another manager may write you up for doing exactly what you have been told to do in the past. (in 5 reviews)<br/>Poor choices in promotions leaving good workers with inept management. (in 4 reviews)
35,35,Bank of America,Bank of America offers a great benefits package and a generous amount of sick/personal time for full time emloyees (in 5227 reviews)<br/>Pay is good relative to the amount of effort you put in (close to zero) (in 1686 reviews)<br/>Work Life Balance is good or lets say life balance is good as didn\'t find much quality work (in 1472 reviews)<br/>All of the managers and team seniors I have worked with are very competent and are great people all around. (in 1362 reviews)<br/>Not stressful and great culture (in 629 reviews),Management is poor and the left hand doesn\'t know what the right hand is doing in the same department. (in 1334 reviews)<br/>I did a good job and the manager said i would be considered rehirable but that was it. (in 840 reviews)<br/>Hours are long and work on weekends (albeit from home) may be needed to finish projects. (in 474 reviews)<br/>The worst part is that there are no bonuses for opening accounts and building relationships. (in 409 reviews)<br/>constant org change and frequent layoffs (in 409 reviews)
36,36,Johnson & Johnson,Pretty stable and good benefits (in 813 reviews)<br/>Get to meet some really great people and most of the help you through the growth. (in 664 reviews)<br/>Great culture and lots of support from within the company in regards to networking and professional development. (in 507 reviews)<br/>Very family oriented and depending on the role the work/life balance is good (in 492 reviews)<br/>good pay and lunch is good (in 337 reviews),Bad management it wasn’t that bad but the mangmrnt was (in 238 reviews)<br/>it was boring and had long hours and sometimes you have to stand for long periods of time which can get pretty tiring (in 155 reviews)<br/>Bad manager and he was very mean. (in 124 reviews)<br/>bad upper management<br/>need more expertise (in 67 reviews)<br/>Bad senior management<br/>like other big companies<br/>keep moving jobs overseas (in 44 reviews)
37,37,Archer Daniels Midland,ADM has pretty good benefits but not worth the struggle you will have to go through in working there. (in 126 reviews)<br/>Good pay and be befits (in 93 reviews)<br/>Some people really are great at their jobs and managing others. (in 80 reviews)<br/>good salary and lots of overtime (in 25 reviews)<br/>Great opportunities if you are open and if you look for them. (in 21 reviews),Management is poor (in 52 reviews)<br/>Hours are long and flexible (in 39 reviews)<br/>No work life balance have to work 7 days before you get 2 days off (in 25 reviews)<br/>Upper management was arrogant and had a sense of entitlement. (in 21 reviews)<br/>long hours hard work very hot (in 17 reviews)
38,38,FedEx,Good benefits and they do seem to honestly care about you and how you feel and work. (in 889 reviews)<br/>My trainer told me when I started there \'we all hate our jobs but the pay is good so we\'re still here\' (in 641 reviews)<br/>There are some and always have been some great people that work at this company. (in 371 reviews)<br/>good work/life balance and laid back atmosphere (in 258 reviews)<br/>Culture was great and unique (in 177 reviews),Poor management and they lie if it’s seasonal or permanent (in 325 reviews)<br/>Long hours and weekends sometimes (in 241 reviews)<br/>Most managers are lazy or mean and deserve to be fired. (in 173 reviews)<br/>Only issue is that salary is low for current employees and will never be able to catchup with new hires. (in 111 reviews)<br/>upper management has absolutely no clue what FedEx Office team members go through and accomplish daily. (in 63 reviews)
39,39,Humana,Great benefits like tuition reimbursement 4 to 5 weeks of vacation a year good health insurance and pay. (in 582 reviews)<br/>It can be a tedious job with tons of time on the road but the pay is good. (in 404 reviews)<br/>Work from home is good (in 344 reviews)<br/>Great people and lots of energy (in 190 reviews)<br/>Work/life balance is good (regular 9 (in 184 reviews),It\'s not worth the mental beat down you get from this poor management team. (in 232 reviews)<br/>Level Managers don\'t get developed (in 99 reviews)<br/>Disorganized and poor leadership (in 83 reviews)<br/>Middle management is self absorbed and upper management is blind to this fact. (in 80 reviews)<br/>Poor training will be the only con. (in 78 reviews)
40,40,Wells Fargo,Wells Fargo offers great benefits and will match what you contibute to your 401K up to 6%. (in 4846 reviews)<br/>Good pay and that\'s all i can really think of other than that it\'s pretty bad to work here (in 2047 reviews)<br/>Work life balance is good but it usually depends on what group you work in. (in 1831 reviews)<br/>Deal flow is decent and the majority of the people you work with are great. (in 1636 reviews)<br/>I received great training at customer service I was giving the right tools to complete the job I was hired for (in 727 reviews),Poor management; each branch operates very differently depending on the branch manager (no consistency) (in 1919 reviews)<br/>Good managers have sound judgement and make good business decisions when dealing with customers on a day to day basis. (in 1030 reviews)<br/>The referrals from customer service are horrible and upper management refuses to look into the problem. (in 582 reviews)<br/>long hours and very political (in 368 reviews)<br/>recent changes in senior leadership removed appreciation for those that have been there and helped fix prior issues (in 314 reviews)
41,41,State Farm Insurance,Great Benefits and 401K (in 1532 reviews)<br/>It was good pay but I had worked there for over 20 years so I had earned to the salary. (in 761 reviews)<br/>It\'s very interesting and you meet great people! (in 597 reviews)<br/>Great training and resources will be setup to do your job with confidence and continuous improvement. (in 358 reviews)<br/>Pension and 401k. (in 275 reviews),Micro management and very goal oriented (in 466 reviews)<br/>No work/life balance and lack of sympathy when it comes to unavoidable absences (including FMLA and ADA leaves) (in 365 reviews)<br/>All the managers do “consensus” and compare employees one to another even though internal policy states not to do that in reviews. (in 237 reviews)<br/>The cons of working in an agency for State Farm is that the salary is low and lots of cold calling. (in 222 reviews)<br/>Factored in to whether an employee is granted time off: seniority and yearly/quarterly reviews. (in 215 reviews)
42,42,Pfizer,Benefits are good and fair (in 689 reviews)<br/>The people I work with and the job are great! (in 414 reviews)<br/>Good work life balance and flexibility. (in 265 reviews)<br/>The purpose and culture are great (in 252 reviews)<br/>Salary is good but deserved (in 204 reviews),The management is poor and things are chaotic. (in 146 reviews)<br/>Constant layoffs or fear of layoffs and revolving door for management. (in 94 reviews)<br/>some manager are micro (in 73 reviews)<br/>Long hours that are not justified (in 47 reviews)<br/>Middle and Upper management are lost and oblivious to what is effective in the real world. (in 44 reviews)
43,43,Citigroup,Citi offers good benefits and if you are a new hire you will get paid much more than an existing employee (in 1966 reviews)<br/>The people you work with can be great and when that happens work can be really fun. (in 1439 reviews)<br/>Work life balance is good but it all depends on where you work and at your managers discretion. (in 1229 reviews)<br/>The pay is good and the facilties we are provided with are also good enough. (in 961 reviews)<br/>Team are good and culture (in 888 reviews),Poor management and lack of expertise. (in 893 reviews)<br/>Sometimes the work can be long hours and stressful depending on which departments you are in. (in 612 reviews)<br/>you have to meet good team and good manager (in 499 reviews)<br/>It\'s January and we got the news about why are bonuses are low because of the Consent Order from the U.S. Government. (in 432 reviews)<br/>Extended working hours are glorified (in 418 reviews)
